,l1,l2,mean_exp,std_exp,mean_bound,std_bound,mean_v2_mean,mean_v2_std
60,117.97792989015579,17.203424602746964,0.736993134021759,0.26253369450569153,80396.95764612115,80718.93004528045,6072.151252717149,613.4879141296972
61,116.74855613708496,17.79554083943367,0.6857630610466003,0.29343315958976746,98097.85790357363,98501.2253084682,5542.303795820798,920.9310686021422
62,116.83212196826935,17.13918973505497,0.7192381620407104,0.26834243535995483,105716.32406368137,106615.92954858257,7128.6110985291425,805.0959282984915
63,114.30494236946106,16.65676599740982,0.6832595467567444,0.2623429596424103,66730.6773232379,67185.92418648255,5407.810823338157,395.22121893590764
64,113.92018103599548,17.117766827344894,0.5865212678909302,0.312984436750412,71659.35664407958,72323.22071923393,5762.296261607774,617.252657212502
65,117.64343136548996,16.97263178229332,0.6816306114196777,0.29000744223594666,103561.22824366642,103937.76563646554,6154.78229597958,849.1621529330786
66,115.0936148762703,17.12965553998947,0.8186417818069458,0.27752000093460083,81550.24617015835,82092.733980294,6061.974653051305,799.7147700518145
67,116.20580738782883,16.9493066072464,0.7994033098220825,0.2660054564476013,82699.70615522716,83429.23676095436,5668.112731425671,836.8917992527505
68,115.25379049777985,16.968831688165665,0.6813324689865112,0.2626621127128601,104559.09901602332,105135.51547005767,5762.2352264402925,871.9820083765742
69,118.36927765607834,17.077171802520752,0.7520408034324646,0.26529043912887573,95918.2502513241,96399.62800864491,6163.199980609466,834.8990232404736
70,116.41348433494568,16.74928006529808,0.7432109117507935,0.2445681095123291,73689.4880740021,75147.94159369027,5127.759698036859,522.672349934564
71,114.97205770015717,17.068403869867325,0.7098369598388672,0.2952430248260498,82248.89631239421,83209.45527564378,5625.149263739031,336.8005111979163
72,115.21301427483559,16.91870428621769,0.727415144443512,0.2837182879447937,95087.84285883264,95484.3512134553,6487.220552063317,1032.430198239951
73,115.81982612609863,16.925075843930244,0.64756178855896,0.2748465836048126,103309.41303975818,104812.89504580585,6263.104516270551,931.3635101885702
74,116.53839442133904,17.25190806388855,0.6416865587234497,0.2948812246322632,93997.90365103752,95650.00201647339,5907.665245169944,815.9821059201876
75,118.74636316299438,17.382589131593704,0.7151522040367126,0.30556145310401917,99024.97030981939,99868.34093451379,5277.1303472250165,771.362339013601
76,115.64555960893631,16.921624660491943,0.6396850347518921,0.28379133343696594,72786.67510915556,73260.4239526426,5317.422787410264,517.6552469748505
